Data,Kliknięcia,Wyświetlenia,CTR,Pozycja
2026-05-27,0,0,,
2026-05-28,1,5,20%,3.6
2026-05-29,0,6,0%,4.3
2026-05-30,0,4,0%,16.8
2026-05-31,0,3,0%,3.7
2026-06-01,0,13,0%,7.1
2026-06-02,0,12,0%,4.4
2026-06-03,1,8,12.5%,2.9
2026-06-04,0,8,0%,4
2026-06-05,0,9,0%,2.9
2026-06-06,0,6,0%,3.2
2026-06-07,0,4,0%,3.2
2026-06-08,0,16,0%,3.7
2026-06-09,1,9,11.11%,2.6
2026-06-10,0,23,0%,20
2026-06-11,2,27,7.41%,21
2026-06-12,0,14,0%,14.9
2026-06-13,2,17,11.76%,10.7
2026-06-14,0,13,0%,32.8
2026-06-15,1,20,5%,21.6
2026-06-16,1,19,5.26%,7.7
2026-06-17,5,22,22.73%,10.1
2026-06-18,1,13,7.69%,9.4
2026-06-19,3,25,12%,3.4
2026-06-20,1,12,8.33%,4.3
2026-06-21,0,4,0%,3
2026-06-22,2,27,7.41%,3
2026-06-23,4,12,33.33%,3.1
2026-06-24,1,19,5.26%,4.1
2026-06-25,3,24,12.5%,6.4
2026-06-26,1,16,6.25%,9.1
2026-06-27,0,5,0%,16.2
2026-06-28,1,5,20%,4.4
2026-06-29,2,16,12.5%,4.4
2026-06-30,2,13,15.38%,2.3
2026-07-01,0,7,0%,43.9
2026-07-02,1,9,11.11%,6.4
2026-07-03,7,16,43.75%,5.1
2026-07-04,2,13,15.38%,7.3
2026-07-05,0,5,0%,3
2026-07-06,0,9,0%,10.4
2026-07-07,0,10,0%,2.9
2026-07-08,2,9,22.22%,2.3
2026-07-09,1,10,10%,9
2026-07-10,0,11,0%,3.1
2026-07-11,1,12,8.33%,5
2026-07-12,0,13,0%,4
2026-07-13,2,13,15.38%,4.5
2026-07-14,3,6,50%,2.5
2026-07-15,2,14,14.29%,4.9
2026-07-16,1,13,7.69%,3.6
2026-07-17,1,15,6.67%,2.8
2026-07-18,0,10,0%,3.9
2026-07-19,0,3,0%,2.3
2026-07-20,2,21,9.52%,5.5
2026-07-21,0,15,0%,2.7
2026-07-22,2,10,20%,10.1
2026-07-23,2,9,22.22%,2.3
2026-07-24,1,14,7.14%,4.9
2026-07-25,0,5,0%,8.6
2026-07-26,0,10,0%,2.1
2026-07-27,1,12,8.33%,5.6
2026-07-28,1,19,5.26%,2.8
2026-07-29,1,13,7.69%,10.1
2026-07-30,3,10,30%,3.5
2026-07-31,0,13,0%,3.8
2026-08-01,0,9,0%,2.6
2026-08-02,0,9,0%,7
